,Coeficients
Med leave for MH (Very Difficult),1.2030383388000514
Work Interference (Often),0.9758257173580022
Dis Supervisor (No),0.887505670983739
MH Benefits (Yes),0.7689855556539212
Anonymity Protection (No),0.7487627068215406
Dis MH in Interview (No),0.7471052207190912
United Kingdom,0.7078689885851102
Southern State,0.6867529176727108
European Country,0.6816078823629927
Self Employed (No),0.6499840612278072
